Mod:Item:MetaData, Localized Name
minecraft:stone_slab:7, 石英台阶
minecraft:brick_block, 砖块
minecraft:tnt, TNT
minecraft:bookshelf, 橡木书架
minecraft:mossy_cobblestone, 苔石
minecraft:obsidian, 黑曜石
minecraft:torch, 火把
minecraft:mob_spawner, 刷怪箱
minecraft:oak_stairs, 橡木楼梯
minecraft:chest, 橡木箱子
minecraft:diamond_ore, 钻石矿石
minecraft:diamond_block, 钻石块
minecraft:crafting_table, 工作台
minecraft:farmland, 耕地
minecraft:furnace, 熔炉
minecraft:ladder, 木梯子
minecraft:rail, 轨道
minecraft:stone_stairs, 圆石楼梯
minecraft:lever, 拉杆
minecraft:stone_pressure_plate, 石质压力板
minecraft:wooden_pressure_plate, 橡木压力板
minecraft:redstone_ore, 红石矿石
minecraft:redstone_torch, 红石火把
minecraft:stone_button, 按钮
minecraft:snow_layer, 雪
minecraft:ice, 冰
minecraft:snow, 雪
minecraft:cactus, 仙人掌
minecraft:clay, 粘土块
minecraft:jukebox, 唱片机
minecraft:fence, 橡木栅栏
minecraft:pumpkin, 南瓜
minecraft:netherrack, 地狱岩
minecraft:soul_sand, 灵魂沙
minecraft:glowstone, 荧石
minecraft:lit_pumpkin, 南瓜灯
minecraft:stained_glass:0, 白色染色玻璃
minecraft:stained_glass:1, 橙色染色玻璃
minecraft:stained_glass:2, 品红色染色玻璃
minecraft:stained_glass:3, 淡蓝色染色玻璃
minecraft:stained_glass:4, 黄色染色玻璃
minecraft:stained_glass:5, 黄绿色染色玻璃
minecraft:stained_glass:6, 粉红色染色玻璃
minecraft:stained_glass:7, 灰色染色玻璃
minecraft:stained_glass:8, 淡灰色染色玻璃
minecraft:stained_glass:9, 青色染色玻璃
minecraft:stained_glass:10, 紫色染色玻璃
minecraft:stained_glass:11, 蓝色染色玻璃
minecraft:stained_glass:12, 棕色染色玻璃
minecraft:stained_glass:13, 绿色染色玻璃
minecraft:stained_glass:14, 红色染色玻璃
minecraft:stained_glass:15, 黑色染色玻璃
minecraft:trapdoor, 橡木活板门
minecraft:monster_egg:0, 石头怪物蛋
minecraft:monster_egg:1, 圆石怪物蛋
minecraft:monster_egg:2, 石砖怪物蛋
minecraft:monster_egg:3, 苔石砖怪物蛋
minecraft:monster_egg:4, 裂石砖怪物蛋
minecraft:monster_egg:5, 錾制石砖怪物蛋
minecraft:stonebrick:0, 石砖
minecraft:stonebrick:1, 苔石砖
minecraft:stonebrick:2, 裂石砖
minecraft:stonebrick:3, 錾制石砖
minecraft:brown_mushroom_block, 蘑菇
minecraft:red_mushroom_block, 蘑菇
minecraft:iron_bars, 铁栏杆
minecraft:glass_pane, 玻璃板
minecraft:melon_block, 西瓜
minecraft:vine, 藤蔓
minecraft:fence_gate, 橡木栅栏门
minecraft:brick_stairs, 砖楼梯
minecraft:stone_brick_stairs, 石砖楼梯
minecraft:mycelium, 菌丝
minecraft:waterlily, 睡莲
minecraft:nether_brick, 地狱砖
minecraft:nether_brick_fence, 地狱砖栅栏
minecraft:nether_brick_stairs, 地狱砖楼梯
minecraft:enchanting_table, 附魔台
minecraft:end_portal_frame, 末地传送门
minecraft:end_stone, 末地石
minecraft:dragon_egg, 龙蛋
minecraft:redstone_lamp, 红石灯
minecraft:wooden_slab:0, 橡木台阶
minecraft:wooden_slab:1, 云杉木台阶
minecraft:wooden_slab:2, 桦木台阶
minecraft:wooden_slab:3, 丛林木台阶
minecraft:wooden_slab:4, 金合欢木台阶
minecraft:wooden_slab:5, 深色橡木台阶
minecraft:sandstone_stairs, 砂岩楼梯
minecraft:emerald_ore, 绿宝石矿石
minecraft:ender_chest, 末影箱
minecraft:tripwire_hook, 绊线钩
minecraft:emerald_block, 绿宝石块
minecraft:spruce_stairs, 云杉木楼梯
minecraft:birch_stairs, 桦木楼梯
minecraft:jungle_stairs, 丛林木楼梯
minecraft:command_block, 命令方块
minecraft:beacon, 信标
minecraft:cobblestone_wall:0, 圆石墙
minecraft:cobblestone_wall:1, 苔石墙
minecraft:wooden_button, 橡木按钮
minecraft:anvil:0, 铁砧
minecraft:anvil:1, 轻微损坏的铁砧
minecraft:anvil:2, 严重损坏的铁砧
minecraft:trapped_chest, 橡木陷阱箱
minecraft:light_weighted_pressure_plate, 测重压力板（轻质）
minecraft:heavy_weighted_pressure_plate, 测重压力板（重质）
minecraft:daylight_detector, 阳光传感器
minecraft:redstone_block, 红石块
minecraft:quartz_ore, 下界石英矿石
minecraft:hopper, 漏斗
minecraft:quartz_block:0, 石英块
minecraft:quartz_block:1, 錾制石英块
minecraft:quartz_block:2, 竖纹石英块
minecraft:quartz_stairs, 石英楼梯
minecraft:activator_rail, 激活轨道
minecraft:dropper, 投掷器
minecraft:stained_hardened_clay:0, 白色陶瓦
minecraft:stained_hardened_clay:1, 橙色陶瓦
minecraft:stained_hardened_clay:2, 品红色陶瓦
minecraft:stained_hardened_clay:3, 淡蓝色陶瓦
minecraft:stained_hardened_clay:4, 黄色陶瓦
minecraft:stained_hardened_clay:5, 黄绿色陶瓦
minecraft:stained_hardened_clay:6, 粉红色陶瓦
minecraft:stained_hardened_clay:7, 灰色陶瓦
minecraft:stained_hardened_clay:8, 淡灰色陶瓦
minecraft:stained_hardened_clay:9, 青色陶瓦
minecraft:stained_hardened_clay:10, 紫色陶瓦
minecraft:stained_hardened_clay:11, 蓝色陶瓦
minecraft:stained_hardened_clay:12, 棕色陶瓦
minecraft:stained_hardened_clay:13, 绿色陶瓦
minecraft:stained_hardened_clay:14, 红色陶瓦
minecraft:stained_hardened_clay:15, 黑色陶瓦
minecraft:stained_glass_pane:0, 白色染色玻璃板
minecraft:stained_glass_pane:1, 橙色染色玻璃板
minecraft:stained_glass_pane:2, 品红色染色玻璃板
minecraft:stained_glass_pane:3, 淡蓝色染色玻璃板
minecraft:stained_glass_pane:4, 黄色染色玻璃板
minecraft:stained_glass_pane:5, 黄绿色染色玻璃板
minecraft:stained_glass_pane:6, 粉红色染色玻璃板
minecraft:stained_glass_pane:7, 灰色染色玻璃板
minecraft:stained_glass_pane:8, 淡灰色染色玻璃板
minecraft:stained_glass_pane:9, 青色染色玻璃板
minecraft:stained_glass_pane:10, 紫色染色玻璃板
minecraft:stained_glass_pane:11, 蓝色染色玻璃板
minecraft:stained_glass_pane:12, 棕色染色玻璃板
minecraft:stained_glass_pane:13, 绿色染色玻璃板
minecraft:stained_glass_pane:14, 红色染色玻璃板
minecraft:stained_glass_pane:15, 黑色染色玻璃板
minecraft:leaves2:0, 金合欢树叶
minecraft:leaves2:1, 深色橡树树叶
minecraft:log2:0, 金合欢木
minecraft:log2:1, 深色橡木
minecraft:acacia_stairs, 金合欢木楼梯
minecraft:dark_oak_stairs, 深色橡木楼梯 
minecraft:slime, 粘液块
minecraft:barrier, 屏障
minecraft:iron_trapdoor, 铁活板门
minecraft:prismarine:0, 海晶石
minecraft:prismarine:1, 海晶石砖
minecraft:prismarine:2, 暗海晶石
minecraft:sea_lantern, 海晶灯
minecraft:hay_block, 干草块
minecraft:carpet:0, 白色地毯
minecraft:carpet:1, 橙色地毯
minecraft:carpet:2, 品红色地毯
minecraft:carpet:3, 淡蓝色地毯
minecraft:carpet:4, 黄色地毯
minecraft:carpet:5, 黄绿色地毯
minecraft:carpet:6, 粉红色地毯
minecraft:carpet:7, 灰色地毯
minecraft:carpet:8, 淡灰色地毯
minecraft:carpet:9, 青色地毯
minecraft:carpet:10, 紫色地毯
minecraft:carpet:11, 蓝色地毯
minecraft:carpet:12, 棕色地毯
minecraft:carpet:13, 绿色地毯
minecraft:carpet:14, 红色地毯
minecraft:carpet:15, 黑色地毯
minecraft:hardened_clay, 陶瓦
minecraft:coal_block, 煤炭块
minecraft:packed_ice, 浮冰
minecraft:double_plant:0, 向日葵
minecraft:double_plant:1, 丁香
minecraft:double_plant:2, 高草丛
minecraft:double_plant:3, 大型蕨
minecraft:double_plant:4, 玫瑰丛
minecraft:double_plant:5, 牡丹
minecraft:red_sandstone:0, 红砂岩
minecraft:red_sandstone:1, 錾制红砂岩
minecraft:red_sandstone:2, 平滑红砂岩
minecraft:red_sandstone_stairs, 红砂岩楼梯
minecraft:stone_slab2:0, 红砂岩台阶
minecraft:spruce_fence_gate, 云杉木栅栏门
minecraft:birch_fence_gate, 白桦木栅栏门
minecraft:jungle_fence_gate, 丛林木栅栏门
minecraft:dark_oak_fence_gate, 深色橡木栅栏门
minecraft:acacia_fence_gate, 金合欢栅栏门
minecraft:spruce_fence, 云杉木栅栏
minecraft:birch_fence, 白桦木栅栏
minecraft:jungle_fence, 丛林木栅栏
minecraft:dark_oak_fence, 深色橡木栅栏
minecraft:acacia_fence, 金合欢栅栏
minecraft:end_rod, 末地烛
minecraft:chorus_plant, 紫颂植物
minecraft:chorus_flower, 紫颂花
minecraft:purpur_block, 紫珀块
minecraft:purpur_pillar, 竖纹紫珀块
minecraft:purpur_stairs, 紫珀楼梯
minecraft:purpur_slab:0, 紫珀台阶
minecraft:end_bricks, 末地石砖
minecraft:grass_path, 草径
minecraft:repeating_command_block, 循环型命令方块
minecraft:chain_command_block, 连锁型命令方块
minecraft:magma, 岩浆块
minecraft:nether_wart_block, 地狱疣块
minecraft:red_nether_brick, 红色地狱砖
minecraft:bone_block, 骨块
minecraft:structure_void, 结构空位
minecraft:observer, 侦测器
minecraft:white_shulker_box, 白色潜影盒
minecraft:orange_shulker_box, 橙色潜影盒
minecraft:magenta_shulker_box, 品红色潜影盒
minecraft:light_blue_shulker_box, 淡蓝色潜影盒
minecraft:yellow_shulker_box, 黄色潜影盒
minecraft:lime_shulker_box, 黄绿色潜影盒
minecraft:pink_shulker_box, 粉红色潜影盒
minecraft:gray_shulker_box, 灰色潜影盒
minecraft:silver_shulker_box, 淡灰色潜影盒
minecraft:cyan_shulker_box, 青色潜影盒
minecraft:purple_shulker_box, 紫色潜影盒
minecraft:blue_shulker_box, 蓝色潜影盒
minecraft:brown_shulker_box, 棕色潜影盒
minecraft:green_shulker_box, 绿色潜影盒
minecraft:red_shulker_box, 红色潜影盒
minecraft:black_shulker_box, 黑色潜影盒
minecraft:white_glazed_terracotta, 白色带釉陶瓦
minecraft:orange_glazed_terracotta, 橙色带釉陶瓦
minecraft:magenta_glazed_terracotta, 品红色带釉陶瓦
minecraft:light_blue_glazed_terracotta, 淡蓝色带釉陶瓦
minecraft:yellow_glazed_terracotta, 黄色带釉陶瓦
minecraft:lime_glazed_terracotta, 黄绿色带釉陶瓦
minecraft:pink_glazed_terracotta, 粉红色带釉陶瓦
minecraft:gray_glazed_terracotta, 灰色带釉陶瓦
minecraft:silver_glazed_terracotta, 淡灰色带釉陶瓦
minecraft:cyan_glazed_terracotta, 青色带釉陶瓦
minecraft:purple_glazed_terracotta, 紫色带釉陶瓦
minecraft:blue_glazed_terracotta, 蓝色带釉陶瓦
minecraft:brown_glazed_terracotta, 棕色带釉陶瓦
minecraft:green_glazed_terracotta, 绿色带釉陶瓦
minecraft:red_glazed_terracotta, 红色带釉陶瓦
minecraft:black_glazed_terracotta, 黑色带釉陶瓦
minecraft:concrete:0, 白色混凝土
minecraft:concrete:1, 橙色混凝土
minecraft:concrete:2, 品红色混凝土
minecraft:concrete:3, 淡蓝色混凝土
minecraft:concrete:4, 黄色混凝土
minecraft:concrete:5, 黄绿色混凝土
minecraft:concrete:6, 粉红色混凝土
minecraft:concrete:7, 灰色混凝土
minecraft:concrete:8, 淡灰色混凝土
minecraft:concrete:9, 青色混凝土
minecraft:concrete:10, 紫色混凝土
minecraft:concrete:11, 蓝色混凝土
minecraft:concrete:12, 棕色混凝土
minecraft:concrete:13, 绿色混凝土
minecraft:concrete:14, 红色混凝土
minecraft:concrete:15, 黑色混凝土
minecraft:concrete_powder:0, 白色混凝土粉末
minecraft:concrete_powder:1, 橙色混凝土粉末
minecraft:concrete_powder:2, 品红色混凝土粉末
minecraft:concrete_powder:3, 淡蓝色混凝土粉末
minecraft:concrete_powder:4, 黄色混凝土粉末
minecraft:concrete_powder:5, 黄绿色混凝土粉末
minecraft:concrete_powder:6, 粉红色混凝土粉末
minecraft:concrete_powder:7, 灰色混凝土粉末
minecraft:concrete_powder:8, 淡灰色混凝土粉末
minecraft:concrete_powder:9, 青色混凝土粉末
minecraft:concrete_powder:10, 紫色混凝土粉末
minecraft:concrete_powder:11, 蓝色混凝土粉末
minecraft:concrete_powder:12, 棕色混凝土粉末
minecraft:concrete_powder:13, 绿色混凝土粉末
minecraft:concrete_powder:14, 红色混凝土粉末
minecraft:concrete_powder:15, 黑色混凝土粉末
minecraft:structure_block, 结构方块
minecraft:iron_shovel, 铁锹
minecraft:iron_pickaxe, 铁镐
minecraft:iron_axe, 铁斧
minecraft:flint_and_steel, 打火石
minecraft:apple, 苹果
minecraft:bow, 弓
minecraft:arrow, 箭
minecraft:coal:0, 煤炭
minecraft:coal:1, 木炭
minecraft:diamond, 钻石
minecraft:iron_ingot, 铁锭
minecraft:gold_ingot, 金锭
minecraft:iron_sword, 铁剑
minecraft:wooden_sword, 木剑
minecraft:wooden_shovel, 木锹
minecraft:wooden_pickaxe, 木镐
minecraft:wooden_axe, 木斧
minecraft:stone_sword, 石剑
minecraft:stone_shovel, 石锹
minecraft:stone_pickaxe, 石镐
minecraft:stone_axe, 石斧
minecraft:diamond_sword, 钻石剑
minecraft:diamond_shovel, 钻石锹
minecraft:diamond_pickaxe, 钻石镐
minecraft:diamond_axe, 钻石斧
minecraft:stick, 大葱
minecraft:bowl, 碗
minecraft:mushroom_stew, 蘑菇煲
minecraft:golden_sword, 金剑
minecraft:golden_shovel, 金锹
minecraft:golden_pickaxe, 金镐
minecraft:golden_axe, 金斧
minecraft:string, 线
minecraft:feather, 羽毛
minecraft:gunpowder, 火药
minecraft:wooden_hoe, 木锄
minecraft:stone_hoe, 石锄
minecraft:iron_hoe, 铁锄
minecraft:diamond_hoe, 钻石锄
minecraft:golden_hoe, 金锄
minecraft:wheat_seeds, 小麦种子
minecraft:wheat, 小麦
minecraft:bread, 面包
minecraft:leather_helmet, 皮革帽子
minecraft:leather_chestplate, 皮革外套
minecraft:leather_leggings, 皮革裤子
minecraft:leather_boots, 皮革靴子
minecraft:chainmail_helmet, 锁链头盔
minecraft:chainmail_chestplate, 锁链胸甲
minecraft:chainmail_leggings, 锁链护腿
minecraft:chainmail_boots, 锁链靴子
minecraft:iron_helmet, 铁头盔
minecraft:iron_chestplate, 铁胸甲
minecraft:iron_leggings, 铁护腿
minecraft:iron_boots, 铁靴子
minecraft:diamond_helmet, 钻石头盔
minecraft:diamond_chestplate, 钻石胸甲
minecraft:diamond_leggings, 钻石护腿
minecraft:diamond_boots, 钻石靴子
minecraft:golden_helmet, 金头盔
minecraft:golden_chestplate, 金胸甲
minecraft:golden_leggings, 金护腿
minecraft:golden_boots, 金靴子
minecraft:flint, 燧石
minecraft:porkchop, 生猪排
minecraft:cooked_porkchop, 熟猪排
minecraft:painting, 画
minecraft:golden_apple:0, 金苹果
minecraft:golden_apple:1, 金苹果
minecraft:sign, 告示牌
minecraft:wooden_door, 橡木门
minecraft:bucket, 桶
minecraft:water_bucket, 水桶
minecraft:lava_bucket, 熔岩桶
minecraft:minecart, 矿车
minecraft:saddle, 鞍
minecraft:iron_door, 铁门
minecraft:redstone, 红石
minecraft:snowball, 雪球
minecraft:boat, 橡木船
minecraft:leather, 皮革
minecraft:milk_bucket, 牛奶
minecraft:brick, 红砖
minecraft:clay_ball, 粘土
minecraft:reeds, 甘蔗
minecraft:paper, 纸
minecraft:book, 书
minecraft:slime_ball, 粘液球
minecraft:chest_minecart, 箱子车
minecraft:furnace_minecart, 熔炉车
minecraft:egg, 鸡蛋
minecraft:compass, 指南针
minecraft:fishing_rod, 钓鱼竿
minecraft:clock, 钟
minecraft:glowstone_dust, 荧石粉
minecraft:fish:0, 生鱼
minecraft:fish:1, 生鲑鱼
minecraft:fish:2, 小丑鱼
minecraft:fish:3, 河豚
minecraft:cooked_fish:0, 熟鱼
minecraft:cooked_fish:1, 熟鲑鱼
minecraft:dye:0, 墨囊
minecraft:dye:1, 玫瑰红
minecraft:dye:2, 仙人掌绿
minecraft:dye:3, 可可豆
minecraft:dye:4, 青金石
minecraft:dye:5, 紫色染料
minecraft:dye:6, 青色染料
minecraft:dye:7, 淡灰色染料
minecraft:dye:8, 灰色染料
minecraft:dye:9, 粉红色染料
minecraft:dye:10, 黄绿色染料
minecraft:dye:11, 蒲公英黄
minecraft:dye:12, 淡蓝色染料
minecraft:dye:13, 品红色染料
minecraft:dye:14, 橙色染料
minecraft:dye:15, 骨粉
minecraft:bone, 骨头
minecraft:sugar, 糖
minecraft:cake, 蛋糕
minecraft:bed:0, 白色床
minecraft:bed:1, 橙色床
minecraft:bed:2, 品红色床
minecraft:bed:3, 淡蓝色床
minecraft:bed:4, 黄色床
minecraft:bed:5, 黄绿色床
minecraft:bed:6, 粉红色床
minecraft:bed:7, 灰色床
minecraft:bed:8, 淡灰色床
minecraft:bed:9, 青色床
minecraft:bed:10, 紫色床
minecraft:bed:11, 蓝色床
minecraft:bed:12, 棕色床
minecraft:bed:13, 绿色床
minecraft:bed:14, 红色床
minecraft:bed:15, 黑色床
minecraft:repeater, 红石中继器
minecraft:cookie, 曲奇
minecraft:filled_map:0, 地图
minecraft:shears, 剪刀
minecraft:melon, 西瓜
minecraft:pumpkin_seeds, 南瓜种子
minecraft:melon_seeds, 西瓜种子
minecraft:beef, 生牛肉
minecraft:cooked_beef, 牛排
minecraft:chicken, 生鸡肉
minecraft:cooked_chicken, 熟鸡肉
minecraft:rotten_flesh, 腐肉
minecraft:ender_pearl, 末影珍珠
minecraft:blaze_rod, 烈焰棒
minecraft:ghast_tear, 恶魂之泪
minecraft:gold_nugget, 金粒
minecraft:nether_wart, 地狱疣
minecraft:potion, 伤药
minecraft:glass_bottle, 玻璃瓶
minecraft:spider_eye, 蜘蛛眼
minecraft:fermented_spider_eye, 发酵蛛眼
minecraft:blaze_powder, 烈焰粉
minecraft:magma_cream, 岩浆膏
minecraft:brewing_stand, 酿造台
minecraft:cauldron, 炼药锅
minecraft:ender_eye, 末影之眼
minecraft:speckled_melon, 闪烁的西瓜
minecraft:spawn_egg, 生成
minecraft:experience_bottle, 附魔之瓶
minecraft:fire_charge, 火焰弹
minecraft:writable_book, 书与笔
minecraft:written_book, 成书
minecraft:emerald, 绿宝石
minecraft:item_frame, 物品展示框
minecraft:flower_pot, 花盆
minecraft:carrot, 胡萝卜
minecraft:potato, 马铃薯
minecraft:baked_potato, 烤马铃薯
minecraft:poisonous_potato, 毒马铃薯
minecraft:map, 空地图
minecraft:golden_carrot, 金胡萝卜
minecraft:skull:0, 骷髅头颅
minecraft:skull:1, 凋灵骷髅头颅
minecraft:skull:2, 僵尸的头
minecraft:skull:3, 头
minecraft:skull:4, 爬行者的头
minecraft:skull:5, 龙首
minecraft:carrot_on_a_stick, 胡萝卜钓竿
minecraft:nether_star, 下界之星
minecraft:pumpkin_pie, 南瓜派
minecraft:fireworks, 烟花火箭
minecraft:firework_charge, 烟火之星
minecraft:enchanted_book, 附魔书
minecraft:comparator, 红石比较器
minecraft:netherbrick, 地狱砖块
minecraft:quartz, 下界石英
minecraft:tnt_minecart, TNT车
minecraft:hopper_minecart, 漏斗车
minecraft:prismarine_shard, 海晶碎片
minecraft:prismarine_crystals, 海晶砂粒
minecraft:rabbit, 生兔肉
minecraft:cooked_rabbit, 熟兔肉
minecraft:rabbit_stew, 兔肉煲
minecraft:rabbit_foot, 兔子脚
minecraft:rabbit_hide, 兔子皮
minecraft:armor_stand, 盔甲架
minecraft:iron_horse_armor, 铁马铠
minecraft:golden_horse_armor, 金马铠
minecraft:diamond_horse_armor, 钻石马铠
minecraft:lead, 拴绳
minecraft:name_tag, 命名牌
minecraft:command_block_minecart, 命令方块矿车
minecraft:mutton, 生羊肉
minecraft:cooked_mutton, 熟羊肉
minecraft:banner:15, 白色旗帜
minecraft:banner:14, 橙色旗帜
minecraft:banner:13, 品红色旗帜
minecraft:banner:12, 淡蓝色旗帜
minecraft:banner:11, 黄色旗帜
minecraft:banner:10, 黄绿色旗帜
minecraft:banner:9, 粉红色旗帜
minecraft:banner:8, 灰色旗帜
minecraft:banner:7, 淡灰色旗帜
minecraft:banner:6, 青色旗帜
minecraft:banner:5, 紫色旗帜
minecraft:banner:4, 蓝色旗帜
minecraft:banner:3, 棕色旗帜
minecraft:banner:2, 绿色旗帜
minecraft:banner:1, 红色旗帜
minecraft:banner:0, 黑色旗帜
minecraft:end_crystal, 末影水晶
minecraft:spruce_door, 云杉木门
minecraft:birch_door, 白桦木门
minecraft:jungle_door, 丛林木门
minecraft:acacia_door, 金合欢木门
minecraft:dark_oak_door, 深色橡木门
minecraft:chorus_fruit, 紫颂果
minecraft:chorus_fruit_popped, 爆裂紫颂果
minecraft:beetroot, 甜菜根
minecraft:beetroot_seeds, 甜菜种子
minecraft:beetroot_soup, 甜菜汤
minecraft:dragon_breath, 龙息
minecraft:splash_potion, 喷溅药水
minecraft:spectral_arrow, 光灵箭
minecraft:tipped_arrow, 药箭
minecraft:lingering_potion, 滞留药水
minecraft:shield, 盾牌
minecraft:elytra, 鞘翅
minecraft:spruce_boat, 云杉木船
minecraft:birch_boat, 白桦木船
minecraft:jungle_boat, 丛林木船
minecraft:acacia_boat, 金合欢木船
minecraft:dark_oak_boat, 深色橡木船
minecraft:totem_of_undying, 不死图腾
minecraft:shulker_shell, 潜影壳
minecraft:iron_nugget, 铁粒
minecraft:knowledge_book, 知识之书
minecraft:record_13, 音乐唱片
minecraft:record_cat, 音乐唱片
minecraft:record_blocks, 音乐唱片
minecraft:record_chirp, 音乐唱片
minecraft:record_far, 音乐唱片
minecraft:record_mall, 音乐唱片
minecraft:record_mellohi, 音乐唱片
minecraft:record_stal, 音乐唱片
minecraft:record_strad, 音乐唱片
minecraft:record_ward, 音乐唱片
minecraft:record_11, 音乐唱片
minecraft:record_wait, 音乐唱片
thermalfoundation:ore:0, 铜矿石
thermalfoundation:ore:1, 锡矿石
thermalfoundation:ore:2, 银矿石
thermalfoundation:ore:3, 铅矿石
thermalfoundation:ore:4, 铝矿石
thermalfoundation:ore:5, 镍矿石
thermalfoundation:ore:6, 铂矿石
thermalfoundation:ore:7, 铱矿石
thermalfoundation:ore:8, 蕴魔秘银矿石
thermalfoundation:ore_fluid:0, 油砂
thermalfoundation:ore_fluid:1, 油页岩
thermalfoundation:ore_fluid:2, 不稳定红石矿石
thermalfoundation:ore_fluid:3, 充能地狱岩
thermalfoundation:ore_fluid:4, 谐振末影矿石
thermalfoundation:ore_fluid:5, 油砂
thermalfoundation:storage:0, 铜块
thermalfoundation:storage:1, 锡块
thermalfoundation:storage:2, 银块
thermalfoundation:storage:3, 铅块
thermalfoundation:storage:4, 铝块
thermalfoundation:storage:5, 镍块
thermalfoundation:storage:6, 铂块
thermalfoundation:storage:7, 铱块
thermalfoundation:storage:8, 蕴魔秘银块
thermalfoundation:storage_alloy:0, 钢块
thermalfoundation:storage_alloy:1, 琥珀金块
thermalfoundation:storage_alloy:2, 殷钢块
thermalfoundation:storage_alloy:3, 青铜块
thermalfoundation:storage_alloy:4, 康铜块
thermalfoundation:storage_alloy:5, 信素块
thermalfoundation:storage_alloy:6, 流明块
thermalfoundation:storage_alloy:7, 末影块
thermalfoundation:storage_resource:0, 木炭块
thermalfoundation:storage_resource:1, 焦炭块
thermalfoundation:glass:0, 硬化铜玻璃
thermalfoundation:glass:1, 硬化锡玻璃
thermalfoundation:glass:2, 硬化银玻璃
thermalfoundation:glass:3, 硬化玻璃
thermalfoundation:glass:4, 硬化铝玻璃
thermalfoundation:glass:5, 硬化镍玻璃
thermalfoundation:glass:6, 硬化铂玻璃
thermalfoundation:glass:7, 硬化铱玻璃
thermalfoundation:glass:8, 硬化蕴魔秘银玻璃
thermalfoundation:glass_alloy:0, 硬化钢玻璃
thermalfoundation:glass_alloy:1, 硬化琥珀金玻璃
thermalfoundation:glass_alloy:2, 硬化殷钢玻璃
thermalfoundation:glass_alloy:3, 硬化青铜玻璃
thermalfoundation:glass_alloy:4, 硬化康铜玻璃
thermalfoundation:glass_alloy:5, 硬化信素玻璃
thermalfoundation:glass_alloy:6, 硬化流明玻璃
thermalfoundation:glass_alloy:7, 硬化末影玻璃
thermalfoundation:rockwool:0, 黑色石棉
thermalfoundation:rockwool:1, 红色石棉
